store_id,store_name,channel,store_format,region,city,store_level,store_size_sqm,staff_count,open_date,store_maturity,trade_area_type,rent_model,profit_profile,sales_power_index,cost_pressure_index,is_active
S001,Himaxx Beijing Warehouse 1,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,C,15578,73,2024-03-07,Mature,Suburban Mall,Revenue Share,High Profit,1.789,0.852,1
S002,Himaxx Nanjing Warehouse 2,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,B,18227,84,2020-06-30,New Store,Outlet Cluster,Revenue Share,Stable,1.068,0.961,1
S003,Himaxx Shenzhen Warehouse 3,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,C,20931,100,2021-12-30,New Store,Suburban Mall,Fixed + Revenue Share,At Risk,0.758,1.167,1
S004,Himaxx Xiamen Warehouse 4,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,B,8222,34,2021-09-08,Mature,Suburban Mall,Fixed + Revenue Share,Stable,1.057,0.876,1
S005,Himaxx Changsha Warehouse 5,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,B,13123,45,2024-10-06,Ramp-up,Transport Hub,Fixed Rent,At Risk,0.941,1.147,1
S006,Himaxx Qingdao Warehouse 6,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,C,18648,77,2024-05-28,Mature,Suburban Mall,Fixed Rent,At Risk,0.934,1.165,1
S007,Himaxx Wuhan Warehouse 7,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,B,16119,70,2025-09-12,Mature,Suburban Mall,Fixed Rent,Stable,1.166,0.962,1
S008,Himaxx Changsha Warehouse 8,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,C,11871,40,2020-11-13,Mature,Industrial Park,Fixed + Revenue Share,High Profit,1.477,0.759,1
S009,Himaxx Changsha Warehouse 9,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,C,11335,51,2022-11-17,Mature,Suburban Mall,Revenue Share,High Profit,1.391,0.844,1
S010,Himaxx Changsha Warehouse 10,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,B,10286,38,2020-07-11,New Store,Suburban Mall,Fixed + Revenue Share,Stable,1.189,0.922,1
S011,Himaxx Chengdu Warehouse 11,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,A,13815,57,2021-08-29,Ramp-up,Suburban Mall,Fixed + Revenue Share,At Risk,0.915,1.162,1
S012,Himaxx Beijing Warehouse 12,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,B,17792,63,2023-05-19,Mature,Community,Revenue Share,High Profit,1.735,0.852,1
S013,Himaxx Shenzhen Warehouse 13,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,A,10494,49,2020-07-04,Ramp-up,Suburban Mall,Revenue Share,High Profit,1.572,0.766,1
S014,Himaxx Tianjin Warehouse 14,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,B,13468,39,2021-07-16,Mature,Transport Hub,Fixed Rent,Stable,1.007,1.042,1
S015,Himaxx Hangzhou Warehouse 15,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,C,14573,64,2024-03-30,Mature,Community,Fixed Rent,Stable,1.08,0.916,1
S016,Himaxx Chengdu Warehouse 16,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,A,15540,74,2023-08-13,Mature,Transport Hub,Fixed + Revenue Share,High Profit,1.653,0.756,1
S017,Himaxx Hangzhou Warehouse 17,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,A,10374,37,2021-09-01,Mature,Community,Fixed + Revenue Share,Stable,1.111,1.016,1
S018,Himaxx Xi'an Warehouse 18,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,A,17488,58,2023-11-19,Aging,Outlet Cluster,Fixed + Revenue Share,High Profit,1.37,0.787,1
S019,Himaxx Qingdao Warehouse 19,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,B,13159,57,2025-03-15,New Store,Transport Hub,Fixed Rent,At Risk,0.898,1.143,1
S020,Himaxx Shanghai Warehouse 20,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,A,20311,107,2020-05-21,Aging,Suburban Mall,Fixed Rent,High Profit,1.431,0.82,1
