sku,product_name,brand_owner,brand,brand_tier,category,business_mode,inventory_risk_owner,msrp,standard_cost,take_rate,gross_margin_target,season,product_lifecycle,price_band,gender_segment,age_segment,color_family,size_group,style_type,core_or_seasonal,clearance_flag,replenishable_flag,launch_date
SKU00001,Reebok Underwear Basketball Shoes Who,External Brand,Reebok Underwear,Tier 2,Basketball Shoes,Buyout,Himaxx,578.67,29.42,1.0,0.2971,Spring,Clearance,Mass,Men,Youth,Blue,M-L,Fashion,Seasonal,1,0,2025-04-10
SKU00002,Hoka Bags Character,External Brand,Hoka,Tier 1,Bags,Consignment,Brand Partner,1393.72,23.01,0.3254,0.3114,Core,Mature,Premium,Men,Adult,Grey,M-L,Clearance,Seasonal,1,0,2024-02-22
SKU00003,Fila Bags Employee,External Brand,Fila,Tier 3,Bags,Buyout,Himaxx,1317.9,133.95,1.0,0.3535,Core,Mature,Premium,Men,Youth,Black,M-L,Core Basic,Core,0,1,2025-07-31
SKU00004,Puma Accessories Nothing,External Brand,Puma,Tier 3,Accessories,Consignment,Brand Partner,542.15,24.72,0.2014,0.281,Winter,Growth,Mass,Men,Adult,Black,M-L,Clearance,Seasonal,1,0,2024-02-19
SKU00005,Nike Performance Apparel Pattern,External Brand,Nike,Tier 1,Performance Apparel,Buyout,Himaxx,1468.28,249.21,1.0,0.4701,Spring,New,Premium,Women,Adult,White,XS-S,Performance,Seasonal,0,0,2024-08-19
SKU00006,Asics Sportswear Past,External Brand,Asics,Tier 3,Sportswear,Consignment,Brand Partner,150.25,2.89,0.2231,0.3286,Winter,Mature,Entry,Women,Adult,White,M-L,Performance,Seasonal,0,1,2024-07-18
SKU00007,On Running Outdoor Apparel Discuss,External Brand,On Running,Tier 1,Outdoor Apparel,Buyout,Himaxx,1137.54,92.42,1.0,0.449,Winter,Mature,Premium,Women,Young Adult,Black,XL-XXL,Fashion,Seasonal,0,1,2026-05-04
SKU00008,Brooks Brothers Yoga Apparel Certainly,External Brand,Brooks Brothers,Tier 1,Yoga Apparel,Consignment,Brand Partner,337.78,14.98,0.2161,0.3351,Spring,Growth,Mass,Women,Adult,Brown,M-L,Fashion,Seasonal,0,1,2024-11-15
SKU00009,Reebok Underwear Accessories Benefit,External Brand,Reebok Underwear,Tier 2,Accessories,Consignment,Brand Partner,440.96,20.35,0.3157,0.3271,Winter,New,Mass,Men,Young Adult,Red,XS-S,Clearance,Seasonal,1,0,2025-08-12
SKU00010,Fila Kids Apparel Traditional,External Brand,Fila,Tier 3,Kids Apparel,Consignment,Brand Partner,590.72,20.29,0.2496,0.2788,Winter,Growth,Mass,Women,Senior,Grey,XS-S,Fashion,Seasonal,0,1,2023-09-05
SKU00011,Champion Kids Apparel Product,External Brand,Champion,Tier 3,Kids Apparel,Buyout,Himaxx,929.94,163.2,1.0,0.3109,Spring,Growth,Premium,Men,Adult,Brown,M-L,Core Basic,Core,0,1,2023-10-30
SKU00012,Under Armour Yoga Apparel Response,External Brand,Under Armour,Tier 3,Yoga Apparel,Buyout,Himaxx,432.54,55.43,1.0,0.4898,Fall,New,Mass,Women,Young Adult,Black,M-L,Core Basic,Seasonal,0,0,2024-08-12
SKU00013,Reebok Underwear Outdoor Apparel Attack,External Brand,Reebok Underwear,Tier 2,Outdoor Apparel,Consignment,Brand Partner,2268.14,109.14,0.2034,0.1922,Core,Clearance,Luxury,Men,Adult,Black,XL-XXL,Performance,Seasonal,1,0,2024-07-02
SKU00014,On Running Underwear Pick,External Brand,On Running,Tier 1,Underwear,Consignment,Brand Partner,195.19,6.51,0.2303,0.305,Spring,Clearance,Entry,Women,Young Adult,Red,XL-XXL,Core Basic,Seasonal,1,0,2026-05-02
SKU00015,Brand B Sportswear Newspaper,Himaxx Own,Brand B,Tier 2,Sportswear,Own Brand,Himaxx,1177.46,155.12,1.0,0.5616,Spring,New,Premium,Men,Young Adult,Grey,M-L,Performance,Seasonal,0,0,2024-02-07
SKU00016,Cole Haan Underwear On,External Brand,Cole Haan,Tier 2,Underwear,Buyout,Himaxx,417.51,30.07,1.0,0.2903,Core,Growth,Mass,Kids,Adult,Red,M-L,Fashion,Seasonal,0,1,2025-12-05
SKU00017,Lululemon Sportswear Activity,External Brand,Lululemon,Tier 1,Sportswear,Consignment,Brand Partner,283.15,13.62,0.342,0.2619,Fall,New,Entry,Men,Adult,Black,M-L,Core Basic,Seasonal,0,0,2025-05-21
SKU00018,Adidas Training Shoes Building,External Brand,Adidas,Tier 1,Training Shoes,Consignment,Brand Partner,1189.57,30.95,0.2118,0.2704,Core,Growth,Premium,Kids,Adult,Red,M-L,Core Basic,Core,0,1,2025-05-23
SKU00019,Brand A Bags Not,Himaxx Own,Brand A,Tier 2,Bags,Own Brand,Himaxx,269.15,52.57,1.0,0.5057,Summer,Growth,Entry,Unisex,Adult,Black,One Size,Fashion,Seasonal,0,1,2025-08-07
